freq,gain
58.907,0.620
107.759,0.974
156.642,1.188
205.592,1.313
254.582,1.387
303.398,1.430
352.113,1.454
400.641,1.466
449.640,1.469
498.008,1.467
548.246,1.460
598.086,1.450
644.330,1.438
694.444,1.422
744.048,1.406
791.139,1.390
838.926,1.373
892.857,1.351
939.850,1.332
984.252,1.314
1033.058,1.295
1086.957,1.271
1134.430,1.223
1183.432,1.203
1232.286,1.184
1281.230,1.164
1330.672,1.144
1379.310,1.125
1428.571,1.107
1477.105,1.089
1525.553,1.071
1574.803,1.053
1623.377,1.036
1672.241,1.019
1769.912,0.986
1819.836,0.970
1867.414,0.955
1917.546,0.940
1966.568,0.925
2014.099,0.911
2063.983,0.896
2111.932,0.883
2209.945,0.857
2259.887,0.844
2309.469,0.831
2406.739,0.808
2453.988,0.796
2503.129,0.785
2600.780,0.763
2649.007,0.753
2699.055,0.742
2747.253,0.733
2797.203,0.723
2844.950,0.713
2945.508,0.694
2994.012,0.686
3039.514,0.678
3091.190,0.670
3139.717,0.661
3189.793,0.653
3284.072,0.636
3333.333,0.629
3384.095,0.622
3430.532,0.616
3484.321,0.607
3533.569,0.600
3577.818,0.595
3629.764,0.587
3676.471,0.580
3724.395,0.575
3773.585,0.569
3824.092,0.563
3875.969,0.555
3921.569,0.551
3968.254,0.545
4016.064,0.538
4065.041,0.532
4115.226,0.526
4219.409,0.514
4264.392,0.508
4310.345,0.502
4415.011,0.493
4464.286,0.485
4504.505,0.482
4555.809,0.478
4608.295,0.473
4651.163,0.469
4705.882,0.464
4750.594,0.460
4901.961,0.445
